,slidename,scanname,roilabel,segmentlabel,sample_id,aoisurfacearea,aoinucleicount,roicoordinatex,roicoordinatey,rawreads,trimmedreads,stitchedreads,alignedreads,deduplicatedreads,sequencingsaturation,umiq30,rtsq30,disease_status,pathology,region,loq,normalizationfactor,roireportx,roireporty,idx,region_exact,ct_deconv_b cell,ct_deconv_cd8 t cell,ct_deconv_dc,ct_deconv_distal_tubules_and_collecting_duct,ct_deconv_endothelium,ct_deconv_loop_of_henle,ct_deconv_mnp,ct_deconv_mast cell,ct_deconv_mesangial_cells,ct_deconv_nk cell,ct_deconv_nkt cell,ct_deconv_nephron_epithelium,ct_deconv_neutrophil,ct_deconv_podocytes,ct_deconv_private,ct_deconv_proximal_tubular_cells,ct_deconv_th cell,x_2d_umap,y_2d_umap,x_3d_umap,y_3d_umap,z_3d_umap,barcode,image_file_name
disease3_scan | 036 | Geometric Segment,disease3,disease3_scan,36,Geometric Segment,DSP-1001250007851-H-C07,17982.80357,122,26588,-46798,1462293,1447082,1434666,1262945,235818,83.87340977,0.9931,0.9922,DKD,abnormal,glomerulus,12.53595571,1.2312149620000001,4984,-10530,disease3_scan | 036 | Geometric Segment,glomerulus,0.412024559,0.0,0.28485057399999997,0.0,8.752049720999999,4.040471869,2.384292817,0.013409200000000001,7.02482822,1.211190605,0.0,1.481993486,0.084200519,3.967743888,0.0,0.066263328,0.0,-9.079313,10.055345,-2.4400628,1.3235728,11.277005,disease3_scan | 036 | Geometric Segment,disease3_scan - 036
disease3_scan | 037 | Geometric Segment,disease3,disease3_scan,37,Geometric Segment,DSP-1001250007851-H-C08,27578.419810000003,173,26666,-48056,1994845,1979784,1964017,1856885,297237,85.09974459,0.9946,0.9939,DKD,abnormal,glomerulus,15.60882438,0.9576116370000001,5001,-10842,disease3_scan | 037 | Geometric Segment,glomerulus,0.640794766,0.0,0.148275038,0.06523021,8.481316883,3.671291852,1.485481083,0.020767453999999998,5.870691794,1.353364595,0.0,1.964739623,0.0,3.250598252,0.0,0.064061225,0.0,-10.030429,12.058215,-0.56202936,1.6077801,10.566856,disease3_scan | 037 | Geometric Segment,disease3_scan - 037
disease3_scan | 038 | Geometric Segment,disease3,disease3_scan,38,Geometric Segment,DSP-1001250007851-H-C09,22428.87948,130,27506,-53817,1195802,1186754,1177368,1120898,182537,84.73518191,0.9944,0.9937,DKD,abnormal,glomerulus,9.524892727000001,1.436417456,5214,-12282,disease3_scan | 038 | Geometric Segment,glomerulus,0.46136544700000004,0.0,0.367155602,0.0,8.687302581,4.800217412,1.955374452,0.017452894,7.454064129,1.573583956,0.0,2.316132232,0.30639475,2.920232522,0.0,0.738236207,0.0,-8.052171,10.968333,-2.7051337,2.467966,11.895237,disease3_scan | 038 | Geometric Segment,disease3_scan - 038
disease3_scan | 039 | Geometric Segment,disease3,disease3_scan,39,Geometric Segment,DSP-1001250007851-H-C10,22709.36151,152,25013,-54272,1157923,1149574,1140216,1088847,150692,86.98600857,0.995,0.9943,DKD,abnormal,glomerulus,9.409716006,1.723700947,4588,-12396,disease3_scan | 039 | Geometric Segment,glomerulus,0.078407333,0.0,0.11982566900000001,0.07510944900000001,8.239637006,3.543065004,1.712687172,0.017743663,5.73733969,1.3347007020000001,0.0,1.337438283,0.0,1.3298231790000001,0.0,0.548568826,0.0,-7.882941,11.325342,-2.6219845,2.6882215,11.536744,disease3_scan | 039 | Geometric Segment,disease3_scan - 039
disease3_scan | 040 | Geometric Segment,disease3,disease3_scan,40,Geometric Segment,DSP-1001250007851-H-C11,33264.39413,236,26261,-54657,1518657,1504897,1492944,1429655,232560,84.68646969,0.9939,0.9932,DKD,abnormal,glomerulus,12.97052056,1.2312149620000001,4905,-12493,disease3_scan | 040 | Geometric Segment,glomerulus,0.38913756299999996,0.0,0.241416076,0.0,8.875120959,5.039521931,1.264078477,0.024775183,7.632316451,1.37870187,0.0,1.720272275,0.0,1.096807986,0.0,0.905253421,0.0,-11.924418,12.617024,-0.41620216,2.1564815,8.906216,disease3_scan | 040 | Geometric Segment,disease3_scan - 040
disease3_scan | 041 | Geometric Segment,disease3,disease3_scan,41,Geometric Segment,DSP-1001250007851-H-C12,21286.7786,135,27403,-55508,783415,775715,769511,735930,128166,83.64008859,0.9936,0.9929,DKD,abnormal,glomerulus,5.593230046,2.154626183,5189,-12707,disease3_scan | 041 | Geometric Segment,glomerulus,0.5087561970000001,0.0,0.290998918,0.10969419300000001,8.564379008,5.150565057,1.0481847370000001,0.028117601000000002,7.811971946,2.003129257,0.0,1.634145308,1.046476517,2.373739603,0.18671816100000002,0.359072003,0.0,-8.465897,11.37346,-2.1931915,2.467909,11.462458,disease3_scan | 041 | Geometric Segment,disease3_scan - 041
disease3_scan | 042 | Geometric Segment,disease3,disease3_scan,42,Geometric Segment,DSP-1001250007851-H-D01,23064.56344,153,29422,-57474,1202229,1189993,1179787,1129322,118920,90.1083737,0.9932,0.9925,DKD,abnormal,glomerulus,5.698448861,2.154626183,5690,-13186,disease3_scan | 042 | Geometric Segment,glomerulus,0.636839148,0.0,0.14799800400000002,0.09457668,10.125633921999999,4.653357888,1.265098123,0.024958057000000002,6.851803511,1.462281571,0.0,1.2268384190000001,0.323337892,2.564483521,0.0,0.038372115,0.0,-8.013925,10.854483,-2.665827,2.5219343,11.85589,disease3_scan | 042 | Geometric Segment,disease3_scan - 042
disease3_scan | 043 | Geometric Segment,disease3,disease3_scan,43,Geometric Segment,DSP-1001250007851-H-D02,10588.60009,69,24139,-50976,1114118,1104287,1095312,1038927,104768,90.59632822,0.9938,0.9931,DKD,abnormal,glomerulus,6.271783064,2.4624299240000003,4382,-11575,disease3_scan | 043 | Geometric Segment,glomerulus,0.333214201,0.0,0.111212983,0.13013044199999999,5.3520930270000004,3.684347856,1.159592476,0.0,4.664706047,1.190233267,0.0,0.736731307,0.046837264,2.396668402,0.0,0.0,0.0,-7.9985347,10.910827,-2.4796748,2.7564743,11.665464,disease3_scan | 043 | Geometric Segment,disease3_scan - 043
disease3_scan | 044 | Geometric Segment,disease3,disease3_scan,44,Geometric Segment,DSP-1001250007851-H-D03,23902.13636,152,25666,-49717,3782447,3752988,3724434,3550832,314051,91.69714738,0.9945,0.9938,DKD,abnormal,glomerulus,17.53271286,0.907211025,4751,-11255,disease3_scan | 044 | Geometric Segment,glomerulus,0.272792237,0.0,0.384444578,0.018162785,9.100508610999999,3.7096336180000002,1.8049222180000002,0.014576233000000001,6.668768189,1.4992869969999998,0.0,1.378401643,0.0,2.49253949,0.0,0.258931872,0.0,-11.807867,13.034795,-0.1308024,2.1622787,9.018116,disease3_scan | 044 | Geometric Segment,disease3_scan - 044
disease3_scan | 045 | Geometric Segment,disease3,disease3_scan,45,Geometric Segment,DSP-1001250007851-H-D04,27538.8812,177,23147,-28398,3281757,3257861,3234058,3089707,303053,90.76552591,0.9948,0.9941,DKD,abnormal,glomerulus,16.88308711,0.9576116370000001,4124,-5931,disease3_scan | 045 | Geometric Segment,glomerulus,0.330832833,0.0,0.113787471,0.0,8.965905333,2.597653986,1.9228695100000002,0.012008213,7.4167198029999994,1.070659037,0.0,1.8347058260000002,0.450447308,2.54552575,0.0,0.0,0.0,-10.623496,11.483422,-0.7752741,0.6479677,10.172406,disease3_scan | 045 | Geometric Segment,disease3_scan - 045
disease3_scan | 046 | Geometric Segment,disease3,disease3_scan,46,Geometric Segment,DSP-1001250007851-H-D05,13586.59472,99,21760,-28676,2627887,2605097,2584564,2467340,221470,91.57231647,0.9941,0.9933,DKD,abnormal,glomerulus,15.71512209,1.2312149620000001,3777,-5997,disease3_scan | 046 | Geometric Segment,glomerulus,0.407544604,0.0,0.158505161,0.0,9.765664159999998,2.015062703,1.4938147540000002,0.016884489,6.662041527,0.797885345,0.0,1.980365084,0.064595743,2.153825569,0.0,0.0,0.0,-8.921795,10.870983,-1.830966,1.8814261,11.353272,disease3_scan | 046 | Geometric Segment,disease3_scan - 046
disease3_scan | 047 | Geometric Segment,disease3,disease3_scan,47,Geometric Segment,DSP-1001250007851-H-D06,15162.651969999999,109,24697,-29623,2706732,2662857,2628343,2504089,274934,89.84258508,0.9914,0.9898,DKD,abnormal,glomerulus,14.93215866,1.013941733,4511,-6234,disease3_scan | 047 | Geometric Segment,glomerulus,0.35959534,0.0,0.209305099,0.0,8.177316216,2.089004956,1.216372381,0.011079712,8.273900098,0.811462338,0.0,1.3005182309999999,0.0,4.1420699569999995,0.0,0.0,0.0,-8.288974,9.390222,-2.8525016,1.302177,12.323982,disease3_scan | 047 | Geometric Segment,disease3_scan - 047
disease3_scan | 048 | Geometric Segment,disease3,disease3_scan,48,Geometric Segment,DSP-1001250007851-H-D07,21049.869730000002,140,22825,-30310,3759056,3724698,3693770,3509901,362424,90.35864323,0.9940000000000001,0.9933,DKD,abnormal,glomerulus,19.70785704,0.78350043,4043,-6405,disease3_scan | 048 | Geometric Segment,glomerulus,0.316191132,0.0,0.122624674,0.0,8.401016516,2.71960994,1.708740347,0.020776304,5.867169392,1.239931112,0.0,1.287765043,0.0,2.242599651,0.0,0.0,0.0,-11.459418,11.688446,-0.824156,1.3243428,9.41908,disease3_scan | 048 | Geometric Segment,disease3_scan - 048
disease3_scan | 049 | Geometric Segment,disease3,disease3_scan,49,Geometric Segment,DSP-1001250007851-H-D08,16106.73706,120,29203,-35578,2747832,2721299,2698161,2580030,266304,90.30857782,0.9937,0.9926,DKD,abnormal,glomerulus,14.14071026,1.077313092,5637,-7723,disease3_scan | 049 | Geometric Segment,glomerulus,0.432601949,0.0,0.181682972,0.0,11.197899897,4.187421318,1.72410281,0.024692739,6.075475337,1.188482405,0.0,0.781040965,0.830728748,3.42436873,0.0,0.0,0.0,-9.208994,10.514668,-1.7491924,1.3328944,11.342703,disease3_scan | 049 | Geometric Segment,disease3_scan - 049
disease3_scan | 050 | Geometric Segment,disease3,disease3_scan,50,Geometric Segment,DSP-1001250007851-H-D09,19138.62193,133,30404,-35913,2610379,2586703,2559156,2453269,263122,89.92016102,0.9939,0.9933,DKD,abnormal,glomerulus,16.18773459,1.077313092,5939,-7809,disease3_scan | 050 | Geometric Segment,glomerulus,0.55644402,0.0,0.252480596,0.0,8.390451351,3.963027068,0.952723946,0.012646582,7.242609772000001,1.366500035,0.0,1.504682645,0.5321098670000001,3.0582492360000004,0.104666464,0.43469743299999997,0.0,-10.399572,11.670299,-1.0244132,1.7119461,9.999581,disease3_scan | 050 | Geometric Segment,disease3_scan - 050
disease3_scan | 051 | Geometric Segment,disease3,disease3_scan,51,Geometric Segment,DSP-1001250007851-H-D10,21682.971569999998,152,31800,-35784,4008351,3975272,3943401,3785450,338101,91.56508499,0.9941,0.9933,DKD,abnormal,glomerulus,15.82132259,0.820809975,6288,-7774,disease3_scan | 051 | Geometric Segment,glomerulus,0.684883059,0.0,0.20187229899999998,0.0,11.301309799,3.880285015,1.238295506,0.015010226000000002,7.381331215,1.2677135309999998,0.0,0.9511221959999999,0.297008115,3.951260935,0.0,0.062376497999999996,0.0,-8.1918955,9.564478,-3.0263667,1.4539212,12.189977,disease3_scan | 051 | Geometric Segment,disease3_scan - 051
disease3_scan | 052 | Geometric Segment,disease3,disease3_scan,52,Geometric Segment,DSP-1001250007851-H-D11,22306.22911,165,31869,-38266,4463474,4430372,4395367,4217987,352283,92.10742574,0.9948,0.9940000000000001,DKD,abnormal,glomerulus,18.83760052,0.78350043,6305,-8392,disease3_scan | 052 | Geometric Segment,glomerulus,0.47330355,0.010985126999999999,0.01277193,0.0,9.352097435000001,2.811843802,1.7530386390000001,0.001446223,6.672579046,1.0670963,0.0,1.65360399,0.0,2.859404894,0.0,0.06040744,0.0,-9.451447,11.343828,-1.1353979,1.6440061,11.073997,disease3_scan | 052 | Geometric Segment,disease3_scan - 052
disease3_scan | 053 | Geometric Segment,disease3,disease3_scan,53,Geometric Segment,DSP-1001250007851-H-D12,17138.29122,118,32016,-39890,2761426,2734680,2709627,2596687,283057,89.74960763,0.9939,0.9932,DKD,abnormal,glomerulus,14.54090941,1.013941733,6340,-8796,disease3_scan | 053 | Geometric Segment,glomerulus,0.389669905,0.0,0.268225626,0.0,10.075591433000001,4.536765656,1.0410331890000002,0.013073831000000001,8.215109338,1.650687955,0.0,1.378114096,0.0,3.995968267,0.0,0.126674553,0.0,-9.357383,10.277589,-1.8725969,1.1380345,11.417495,disease3_scan | 053 | Geometric Segment,disease3_scan - 053
normal3_scan | 001 | PanCK,normal3,normal3_scan,1,PanCK,DSP-1001250007864-D-A02,20265.55289,223,24658,-24538,3358935,3333329,3303955,3169018,419182,87.52038965,0.9949,0.9943,normal,nan,tubule,17.43449285,0.662961903,5808,-6101,normal3_scan | 001 | PanCK,distal tubule,0.0,0.0,0.050143783,29.067647284000003,0.64162099,5.682750862000001,0.0,0.003218725,1.072508985,0.264305727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3261647,-5.457125,9.361474,2.050651,13.366477,normal3_scan | 001 | PanCK,normal3_scan - 001 - PanCK
normal3_scan | 001 | neg,normal3,normal3_scan,1,neg,DSP-1001250007864-D-A03,91483.61982,450,24658,-24538,5149518,5096156,5046768,4810145,797716,84.50891909,0.9939,0.9932,normal,nan,tubule,31.498052100000002,0.374717597,5808,-6101,normal3_scan | 001 | neg,proximal tubule,0.0,0.0,0.0,5.583810952,1.6413042539999998,11.32432385,0.0,0.0033198570000000003,1.6185578580000002,0.0,0.0,0.0,0.0,0.0,0.0,6.453038539,0.0,-0.32735574,-0.6213116,6.2681704,10.000589,0.86097664,normal3_scan | 001 | neg,normal3_scan - 001 - neg
normal3_scan | 002 | PanCK,normal3,normal3_scan,2,PanCK,DSP-1001250007864-D-A04,12966.08068,133,25404,-18258,1727404,1713003,1700055,1632358,240515,86.07650555,0.9942,0.9934,normal,nan,tubule,10.21522336,1.149133965,5980,-4528,normal3_scan | 002 | PanCK,distal tubule,0.0,0.0,0.0,28.843832285999998,0.696825807,3.702799106,0.0,0.004042258,1.102201012,0.095281445,0.0,0.0,0.0,0.0,0.0,0.39319939,0.0,2.3170261,-5.161028,9.353914,2.0986454,13.7046585,normal3_scan | 002 | PanCK,normal3_scan - 002 - PanCK
normal3_scan | 002 | neg,normal3,normal3_scan,2,neg,DSP-1001250007864-D-A05,133866.4234,499,25404,-18258,5262758,5213562,5175092,4870492,1030517,80.41868921,0.9937,0.9931,normal,nan,tubule,42.82923887,0.302403675,5980,-4528,normal3_scan | 002 | neg,proximal tubule,0.0,0.0,0.032544695,5.732463640000001,1.814070267,3.3941143960000004,0.0,0.0,1.4014048630000002,0.029798263999999998,0.0,0.21709967300000002,0.0,0.0,0.0,9.967215747000001,0.0,-0.3808781,-0.32622546,6.2079067,9.7925625,1.0569232,normal3_scan | 002 | neg,normal3_scan - 002 - neg
normal3_scan | 003 | PanCK,normal3,normal3_scan,3,PanCK,DSP-1001250007864-D-A06,23336.814980000003,195,5669,-35254,2163275,2145722,2129456,2035419,313094,85.52685165,0.9944,0.9938,normal,nan,tubule,15.71897795,0.907211025,1047,-8768,normal3_scan | 003 | PanCK,distal tubule,0.0,0.0,0.19627527600000003,22.234662883,0.6413859900000001,9.02052211,0.0,0.0,1.306655593,0.524835308,0.0,0.237439358,0.0,0.0,0.0,0.0,0.0,2.1372194,-5.730738,9.509787,2.1963856,13.183228,normal3_scan | 003 | PanCK,normal3_scan - 003 - PanCK
normal3_scan | 003 | neg,normal3,normal3_scan,3,neg,DSP-1001250007864-D-A07,174741.5958,457,5669,-35254,6265561,6218544,6171994,5796420,809264,87.0839339,0.9948,0.9941,normal,nan,tubule,39.98722011,0.391750215,1047,-8768,normal3_scan | 003 | neg,proximal tubule,0.0,0.0,0.046934829000000004,0.99268771,2.471366807,2.3365328969999997,0.8472915910000001,0.0,1.49941434,0.477440145,0.0,0.380302025,0.0,0.0,0.0,10.32442064,0.0,-0.7485464,-0.012155122,5.7221427,10.057971,1.3602446,normal3_scan | 003 | neg,normal3_scan - 003 - neg
normal3_scan | 004 | PanCK,normal3,normal3_scan,4,PanCK,DSP-1001250007864-D-A08,15875.799319999998,144,10254,-33559,2348506,2329540,2310862,2209437,295427,87.42064104,0.9944,0.9937,normal,nan,tubule,14.02885352,0.9576116370000001,2209,-8332,normal3_scan | 004 | PanCK,distal tubule,0.048361172,0.0,0.005714797,26.531472567,0.7426589309999999,3.78695992,0.0,0.0,1.287126207,0.39693009100000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105764,-5.467919,9.358589,2.3226223,13.352674,normal3_scan | 004 | PanCK,normal3_scan - 004 - PanCK
normal3_scan | 004 | neg,normal3,normal3_scan,4,neg,DSP-1001250007864-D-A09,122888.5698,486,10254,-33559,6458141,6407402,6359958,6044456,844043,86.93055788,0.9945,0.9938,normal,nan,tubule,37.05525795,0.359104364,2209,-8332,normal3_scan | 004 | neg,proximal tubule,0.0,0.0,0.01491772,2.625055624,1.5255520599999999,9.392197208999999,0.0,0.0,1.4871975169999998,0.0,0.0,0.32713417699999997,0.0,0.0,0.0,6.6968318710000005,0.0,-0.42123106,-0.2821237,6.056741,9.967034,1.0364486,normal3_scan | 004 | neg,normal3_scan - 004 - neg
normal3_scan | 005 | PanCK,normal3,normal3_scan,5,PanCK,DSP-1001250007864-D-A10,23311.316609999998,199,21917,-29257,3031498,3009545,2988751,2877361,380203,87.45824671,0.9946,0.9939,normal,nan,tubule,17.12380007,0.749435194,5102,-7281,normal3_scan | 005 | PanCK,distal tubule,0.0,0.0,0.0,30.194695711,0.440803978,3.5128298160000004,0.0,0.0,1.132541928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3983247,-5.182959,9.096254,2.2452366,13.625863,normal3_scan | 005 | PanCK,normal3_scan - 005 - PanCK
normal3_scan | 006 | neg,normal3,normal3_scan,6,neg,DSP-1001250007864-D-B01,77969.64703,341,7360,-27919,7537862,7452728,7389902,7032210,604396,91.98186435,0.9927,0.9918,normal,nan,tubule,23.17780012,0.492485985,1467,-6939,normal3_scan | 006 | neg,proximal tubule,0.096280869,0.0,0.0006985219999999999,1.285589587,1.268506103,15.210451932,0.004713422,0.005129555,1.8830009669999999,0.0,0.0,0.003631652,0.0,0.0,0.0,8.549612519,0.0,-0.6817355,-0.663051,6.1239805,10.233897,0.93045455,normal3_scan | 006 | neg,normal3_scan - 006 - neg
normal3_scan | 007 | Geometric Segment,normal3,normal3_scan,7,Geometric Segment,DSP-1001250007864-D-B02,27983.32741,126,22237,-7048,4097634,4063835,4029758,3872474,340051,91.7012842,0.9944,0.9937,normal,healthy,glomerulus,18.04090668,0.861850473,5192,-1727,normal3_scan | 007 | Geometric Segment,glomerulus,0.0,0.0,0.051844753,0.07888279599999999,11.404085853,1.335051735,0.30639999100000004,0.0036284459999999996,5.844864628,0.480550198,0.0,1.5015785259999999,0.0,6.639539807999999,0.0,0.265181331,0.0,17.87846,3.5766554,16.107794,0.44031596,2.4612818,normal3_scan | 007 | Geometric Segment,normal3_scan - 007
normal3_scan | 008 | Geometric Segment,normal3,normal3_scan,8,Geometric Segment,DSP-1001250007864-D-B03,23475.44217,117,26360,-7818,2451411,2432054,2412667,2319903,224773,90.83087251,0.9944,0.9937,normal,healthy,glomerulus,13.08529699,1.2312149620000001,6219,-1921,normal3_scan | 008 | Geometric Segment,glomerulus,0.0,0.0,0.0,0.0,9.941961907,1.44046227,0.076591044,0.0,5.417100777999999,0.39288323299999994,0.0,1.56224854,0.0,6.6429888329999995,0.0,0.381963184,0.0,17.291779,1.6186762,15.527502,-1.3586454,3.357517,normal3_scan | 008 | Geometric Segment,normal3_scan - 008
normal3_scan | 009 | Geometric Segment,normal3,normal3_scan,9,Geometric Segment,DSP-1001250007864-D-B04,14662.851719999999,78,27147,-5512,1680845,1667336,1652319,1585519,140511,91.64045465,0.9946,0.9939,normal,healthy,glomerulus,9.114865434,1.9152232740000001,6417,-1343,normal3_scan | 009 | Geometric Segment,glomerulus,0.0,0.0,0.0,0.35631122000000004,8.491467258,3.518878973,0.369753381,0.0,6.750686397999999,0.35016865,0.0,2.0765086740000003,0.0,4.955238858,0.0,1.109411871,0.0,17.059189,1.4760274,15.663662,-1.6483537,3.3130352,normal3_scan | 009 | Geometric Segment,normal3_scan - 009
normal3_scan | 010 | Geometric Segment,normal3,normal3_scan,10,Geometric Segment,DSP-1001250007864-D-B05,24797.64544,145,28882,-5358,2865554,2844391,2822804,2715983,245838,91.42092594,0.9948,0.9941,normal,healthy,glomerulus,13.59801261,1.149133965,6855,-1302,normal3_scan | 010 | Geometric Segment,glomerulus,0.0,0.0,0.051304065,0.04415582,10.391764596,2.969936231,0.36364406899999996,0.0,5.085854125,0.372264607,0.0,1.4581808230000002,0.0,5.590206977,0.0,0.400438991,0.0,17.773493,2.947496,15.810792,-0.039640635,2.7318435,normal3_scan | 010 | Geometric Segment,normal3_scan - 010
normal3_scan | 011 | Geometric Segment,normal3,normal3_scan,11,Geometric Segment,DSP-1001250007864-D-B06,24350.45573,128,26335,-10453,3040227,3000284,2968560,2849333,257872,91.51800178,0.9924,0.9909,normal,healthy,glomerulus,12.60844093,1.077313092,6216,-2580,normal3_scan | 011 | Geometric Segment,glomerulus,0.015479676000000001,0.0,0.0,0.005595936,12.305170929,2.127852559,0.585285233,0.0,7.734368087000001,0.65251193,0.0,0.708795003,0.0,7.207687859,0.0,0.0,0.0,17.964525,1.1870933,15.499467,-1.4502984,3.9020817,normal3_scan | 011 | Geometric Segment,normal3_scan - 011
normal3_scan | 012 | Geometric Segment,normal3,normal3_scan,12,Geometric Segment,DSP-1001250007864-D-B07,22468.41808,120,25277,-11931,3014033,2989763,2961392,2841642,232655,92.28094052,0.9947,0.9940000000000001,normal,healthy,glomerulus,13.79506814,1.2312149620000001,5950,-2945,normal3_scan | 012 | Geometric Segment,glomerulus,0.0,0.0,0.0,0.0,11.534502848,1.206476293,0.134747503,0.0,6.080069765,0.317808908,0.0,1.574506977,0.0,7.4338915,0.0,0.096474616,0.0,18.328188,1.8685681,15.799714,-0.7062812,3.8040702,normal3_scan | 012 | Geometric Segment,normal3_scan - 012
normal3_scan | 013 | Geometric Segment,normal3,normal3_scan,13,Geometric Segment,DSP-1001250007864-D-B08,25761.903280000002,158,24774,-14269,2576110,2551962,2525411,2421231,214075,91.68998995,0.9939,0.9931,normal,healthy,glomerulus,13.17377036,1.325923805,5822,-3529,normal3_scan | 013 | Geometric Segment,glomerulus,0.001052505,0.0,0.048951009000000004,0.020152185,9.305049152,3.2960010619999998,0.44436778600000004,0.001963048,10.51548367,0.476427959,0.0,1.4892153780000001,0.0,6.561174162,0.0,0.321020354,0.0,18.22969,2.3481927,15.672912,-0.29625222,3.1866167,normal3_scan | 013 | Geometric Segment,normal3_scan - 013
normal3_scan | 014 | Geometric Segment,normal3,normal3_scan,14,Geometric Segment,DSP-1001250007864-D-B09,23327.93897,127,26774,-13654,3155597,3129610,3100761,2978367,252057,92.01238308,0.9943,0.9935,normal,healthy,glomerulus,13.40983735,1.149133965,6330,-3380,normal3_scan | 014 | Geometric Segment,glomerulus,0.0,0.0,0.0,0.0,11.518316416,1.6703479769999998,0.15427881300000001,0.0,8.14245055,0.128809395,0.0,1.9160493159999998,0.0,6.129889952999999,0.0,0.0,0.0,18.636446,2.2581284,15.91956,-0.09195462,3.560494,normal3_scan | 014 | Geometric Segment,normal3_scan - 014
normal3_scan | 015 | Geometric Segment,normal3,normal3_scan,15,Geometric Segment,DSP-1001250007864-D-B10,26355.95066,146,23786,-16324,3458205,3429351,3401751,3266346,286784,91.70714287,0.9943,0.9936,normal,healthy,glomerulus,16.07622796,1.013941733,5581,-4046,normal3_scan | 015 | Geometric Segment,glomerulus,0.0,0.0,0.045649548,0.0,10.570687991000002,1.1834587840000002,0.134277183,0.004132228,6.711091142000001,0.309396542,0.0,1.674083592,0.0,6.477984427999999,0.0,0.0,0.0,18.464607,3.1776981,16.199924,0.47650883,3.3116786,normal3_scan | 015 | Geometric Segment,normal3_scan - 015
normal3_scan | 016 | Geometric Segment,normal3,normal3_scan,16,Geometric Segment,DSP-1001250007864-D-B11,25468.51068,151,23136,-17600,3810906,3781174,3745199,3588026,288337,92.43389892,0.9946,0.9938,normal,healthy,glomerulus,16.73186995,1.013941733,5418,-4361,normal3_scan | 016 | Geometric Segment,glomerulus,0.0,0.0,0.04088463,0.0,11.794581937,0.8292546820000001,0.10973697,0.0,6.970948485,0.330648564,0.0,1.1534486720000001,0.0,6.296610983,0.0,0.0,0.0,18.564512,3.8150668,16.346046,0.99652904,2.787371,normal3_scan | 016 | Geometric Segment,normal3_scan - 016
normal3_scan | 017 | Geometric Segment,normal3,normal3_scan,17,Geometric Segment,DSP-1001250007864-D-B12,26808.950119999998,135,23857,-18098,2733866,2706784,2684004,2573886,262627,90.3935672,0.9936,0.9929,normal,healthy,glomerulus,15.35136016,1.077313092,5598,-4492,normal3_scan | 017 | Geometric Segment,glomerulus,0.0,0.0,0.025900938999999998,0.060949067999999995,10.874634587,1.239014254,0.111748694,0.0,6.545691296,0.13555145400000002,0.0,1.036797771,0.0,6.792417747999999,0.0,0.0,0.0,18.081985,1.5082338,15.853121,-1.126886,4.0377793,normal3_scan | 017 | Geometric Segment,normal3_scan - 017
normal3_scan | 018 | Geometric Segment,normal3,normal3_scan,18,Geometric Segment,DSP-1001250007864-D-C01,24417.75206,163,23524,-19162,3211778,3184987,3159387,3037285,276485,91.39152831,0.9942,0.9935,normal,healthy,glomerulus,18.85103911,1.013941733,5514,-4751,normal3_scan | 018 | Geometric Segment,glomerulus,0.0,0.0,0.045756497,0.0,7.74081117,1.7298137059999998,0.075855637,0.009059065,4.547724136,0.28013263,0.0,1.501712678,0.0,4.428492127,0.0,0.0,0.0,17.347843,5.0135655,16.29155,1.2122391,1.0158097,normal3_scan | 018 | Geometric Segment,normal3_scan - 018
normal3_scan | 019 | Geometric Segment,normal3,normal3_scan,19,Geometric Segment,DSP-1001250007864-D-C02,26498.77379,131,28740,-20215,2988413,2955661,2927843,2818188,256122,91.42949786,0.993,0.9918,normal,healthy,glomerulus,14.89994064,1.077313092,6819,-5017,normal3_scan | 019 | Geometric Segment,glomerulus,0.0,0.0,0.101811339,0.0,9.994617856,1.710783243,0.010083241,0.0040203190000000005,5.646872949,0.46757127600000004,0.0,0.9340046540000001,0.0,7.20026292,0.0,0.0,0.0,17.713297,1.9022877,16.008064,-1.1641976,3.7060552,normal3_scan | 019 | Geometric Segment,normal3_scan - 019
normal3_scan | 020 | Geometric Segment,normal3,normal3_scan,20,Geometric Segment,DSP-1001250007864-D-C03,31804.370580000003,175,20577,-23964,3030875,3009188,2986500,2877449,296405,90.22048088,0.9947,0.9940000000000001,normal,healthy,glomerulus,18.40649691,0.9576116370000001,4778,-5957,normal3_scan | 020 | Geometric Segment,glomerulus,0.044314189000000004,0.0,0.158763394,0.0,9.113167071,1.374279593,0.0,0.01623858,5.79835486,0.54438833,0.0,1.8100990680000002,0.0,5.148314546,0.0,0.0,0.0,17.668497,4.9903708,15.915212,1.7600096,1.0532794,normal3_scan | 020 | Geometric Segment,normal3_scan - 020
normal3_scan | 021 | Geometric Segment,normal3,normal3_scan,21,Geometric Segment,DSP-1001250007864-D-C04,35587.97311,183,18744,-26296,4664106,4626837,4586481,4399996,393561,91.5619199,0.9946,0.9939,normal,healthy,glomerulus,19.45619065,0.749435194,4309,-6535,normal3_scan | 021 | Geometric Segment,glomerulus,0.47286970899999997,0.0,0.008795408000000001,0.0,10.059510486999999,0.776777644,0.038503189,0.00036887199999999996,9.518135552,0.43382033299999995,0.0,1.894234065,0.0,4.258388033,0.0,0.0,0.0,17.994892,4.9298368,16.032635,1.8623483,1.2227834,normal3_scan | 021 | Geometric Segment,normal3_scan - 021
