gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	celltype_Nephron_epithelium	celltype_Endothelium	celltype_Podocytes	celltype_Distal_tubules_and_collecting_duct	celltype_Proximal_tubular_cells	celltype_Loop_of_Henle	celltype_Private	celltype_Neutrophil	celltype_MNP	celltype_Mesangial_cells	celltype_NKT cell	celltype_Mast cell	celltype_Th cell	celltype_NK cell	celltype_CD8 T cell	celltype_B cell	celltype_DC
ITGAM	P11215	True	ITAM_HUMAN	aMb2 complex	CPI-CC08A4A83F1	0.01	0.011	0.053	0.008	0.009	0.004	0.075	0.183	0.427	0.025	0.322	0.209	0.053	0.696	0.073	0.057	0.0
ITGAX	P20702	True	ITAX_HUMAN	aXb2 complex	CPI-CC0F3691D07	0.025	0.017	0.0	0.024	0.005	0.015	0.068	0.553	1.099	0.009	0.074	0.241	0.012	0.492	0.034	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.005	0.0	0.0	0.004	0.0	0.02	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.005	0.0	0.0	0.004	0.0	0.02	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	2.955	11.54	0.688	0.664	0.768	0.688	1.956	0.189	25.087	0.913	2.864	1.885	1.261	1.216	2.848	10.577	7.595
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.057	0.169	0.418	0.151	0.084	0.076	0.011	0.0	0.038	0.217	0.021	0.0	0.025	0.023	0.0	0.004	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.005	0.0	0.0	0.004	0.0	0.02	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	2.955	11.54	0.688	0.664	0.768	0.688	1.956	0.189	25.087	0.913	2.864	1.885	1.261	1.216	2.848	10.577	7.595
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.002	0.0	0.0	0.005	0.0	0.014	0.0	0.003	0.0	0.005	0.013	0.0	0.005	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.057	0.169	0.418	0.151	0.084	0.076	0.011	0.0	0.038	0.217	0.021	0.0	0.025	0.023	0.0	0.004	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.057	0.169	0.418	0.151	0.084	0.076	0.011	0.0	0.038	0.217	0.021	0.0	0.025	0.023	0.0	0.004	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.057	0.169	0.418	0.151	0.084	0.076	0.011	0.0	0.038	0.217	0.021	0.0	0.025	0.023	0.0	0.004	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.0	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.125	0.15	0.402	0.121	0.088	0.333	0.04	0.189	0.081	0.122	0.103	0.118	0.027	0.041	0.0	0.022	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.018	0.014	0.0	0.012	0.017	0.016	0.217	0.131	0.102	0.006	0.776	0.0	0.233	0.327	0.564	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.0	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.0	0.013	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC01C699B73	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC07ECBFCA7	0.003	0.016	0.033	0.031	0.01	0.013	0.016	0.0	0.008	1.115	0.018	0.058	0.045	0.019	0.026	0.007	0.0
COL2A1	P02458	False	CO2A1_HUMAN		CPI-SC0DA298BEC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC067433F6B	0.049	0.626	0.417	0.02	0.058	0.042	0.01	0.0	0.015	1.605	0.054	0.0	0.005	0.0	0.048	0.006	0.028
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0B6F1A278	0.222	2.13	0.029	0.207	0.274	0.267	0.039	0.0	0.033	1.242	0.057	0.0	0.027	0.025	0.0	0.047	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC0D19BAF15	0.859	3.748	0.114	0.106	0.056	0.115	0.086	0.0	0.174	1.352	0.192	0.204	0.04	0.041	0.0	0.054	0.048
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0F516B854	0.026	0.029	0.048	0.011	0.013	0.002	0.009	0.0	0.006	0.313	0.006	0.0	0.008	0.0	0.0	0.003	0.0
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC011F01833	0.028	0.03	0.109	0.086	0.013	0.032	0.009	0.0	0.009	1.939	0.013	0.0	0.012	0.004	0.005	0.004	0.0
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0FA79E269	0.307	2.205	0.068	0.211	0.439	0.411	0.038	0.0	0.051	1.146	0.046	0.067	0.007	0.034	0.028	0.023	0.0
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC04936738A	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC02B111AB0	0.261	0.395	0.251	1.512	0.195	0.448	0.057	0.0	0.062	1.83	0.043	0.0	0.08	0.043	0.065	0.047	0.0
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0CE851065	0.043	0.321	0.027	0.05	0.008	0.091	0.056	0.0	0.011	2.06	0.286	0.0	0.054	0.181	0.025	0.0	0.0
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC07375C073	0.04	0.103	0.122	0.056	0.077	0.026	0.047	0.356	0.075	0.189	0.169	0.083	0.127	0.095	0.081	0.107	0.055
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC0D6C777F2	0.0	0.166	0.0	0.005	0.011	0.001	0.002	0.0	0.008	0.038	0.001	0.0	0.0	0.009	0.0	0.0	0.0
COL9A1	P20849	False	CO9A1_HUMAN		CPI-SC0F74C069F	0.006	0.0	0.012	0.001	0.007	0.013	0.0	0.0	0.0	0.125	0.0	0.094	0.006	0.004	0.0	0.0	0.0
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC041DEF0FB	0.015	0.031	0.0	0.005	0.0	0.015	0.006	0.0	0.004	0.152	0.002	0.0	0.023	0.003	0.01	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0C907A888	0.0	0.0	0.0	0.002	0.003	0.003	0.0	0.0	0.027	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.05
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC08B1D5269	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.13	0.002	0.0	0.013	0.036	0.0	0.0	0.0
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC0F8101D41	0.049	0.106	0.014	0.013	0.008	0.07	0.003	0.0	0.012	0.034	0.0	0.0	0.003	0.009	0.014	0.0	0.0
COL4A5	P29400	False	CO4A5_HUMAN		CPI-SC087556B01	0.011	0.017	0.277	0.158	0.007	0.077	0.0	0.0	0.006	0.297	0.01	0.0	0.0	0.005	0.0	0.0	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC08E75294D	0.082	0.753	0.004	0.002	0.026	0.004	0.02	0.0	0.011	0.188	0.01	0.077	0.006	0.008	0.0	0.134	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0017F527E	0.322	0.638	1.35	1.682	0.501	0.91	0.123	0.289	0.106	2.596	0.11	0.024	0.125	0.1	0.241	0.104	0.3
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC00C0800EB	0.056	0.026	0.77	0.336	0.092	0.257	0.02	0.0	0.013	0.005	0.008	0.0	0.025	0.05	0.005	0.201	0.0
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0A3F146C2	0.053	0.024	2.402	0.237	0.106	0.363	0.013	0.0	0.003	0.054	0.02	0.0	0.008	0.012	0.0	0.106	0.044
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC008F4294F	0.028	0.009	0.107	0.014	0.0	0.033	0.001	0.0	0.004	0.035	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL10A1	Q03692	False	COAA1_HUMAN		CPI-SC0A199B69E	0.033	0.015	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC015980AEB	0.002	0.002	0.0	0.006	0.002	0.037	0.0	0.0	0.002	0.62	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0F94B2CF9	0.008	0.019	0.011	0.032	0.008	0.016	0.005	0.0	0.002	0.062	0.01	0.0	0.004	0.007	0.0	0.004	0.0
COL4A6	Q14031	False	CO4A6_HUMAN		CPI-SC05565E8CE	0.0	0.002	0.0	0.037	0.0	0.018	0.0	0.0	0.003	0.06	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL9A3	Q14050	False	CO9A3_HUMAN		CPI-SC0517A327B	0.041	0.024	0.04	0.055	0.096	0.081	0.027	0.0	0.013	0.027	0.01	0.097	0.002	0.002	0.0	0.024	0.094
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC067EE23E1	0.069	0.021	0.0	0.394	0.007	0.046	0.039	0.0	0.088	0.026	0.01	0.068	0.064	0.012	0.06	0.015	0.0
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC09DFB2ACA	0.0	0.002	0.01	0.01	0.134	0.004	0.01	0.0	0.001	0.0	0.0	0.0	0.0	0.011	0.0	0.195	0.042
COL24A1	Q17RW2	False	COOA1_HUMAN		CPI-SC090311934	0.003	0.004	0.0	0.037	0.003	0.012	0.002	0.0	0.004	0.021	0.0	0.0	0.001	0.007	0.0	0.003	0.36
COL28A1	Q2UY09	False	COSA1_HUMAN		CPI-SC05D8C0EF5	0.007	0.0	0.0	0.018	0.003	0.003	0.001	0.0	0.002	0.0	0.003	0.0	0.004	0.004	0.0	0.0	0.0
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0725E3A76	0.02	0.082	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.024	0.006	0.63	0.0	0.03	0.0	0.0	0.0
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0C9CBDD21	0.036	0.024	0.085	0.031	0.402	0.097	0.037	0.04	0.014	0.119	0.062	0.0	0.033	0.022	0.014	0.011	0.0
COL22A1	Q8NFW1	False	COMA1_HUMAN		CPI-SC0BA1D5E00	0.004	0.001	0.0	0.02	0.0	0.001	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL26A1	Q96A83	False	COQA1_HUMAN		CPI-SC0147A8A42	0.005	0.001	0.0	0.017	0.0	0.039	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.264
COL21A1	Q96P44	False	COLA1_HUMAN		CPI-SC08938BB1C	0.023	0.007	0.001	0.003	0.0	0.001	0.0	0.0	0.0	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC02131C05A	0.005	0.034	0.013	0.041	0.026	0.035	0.003	0.0	0.006	0.771	0.004	0.496	0.004	0.005	0.0	0.04	0.0
COL20A1	Q9P218	False	COKA1_HUMAN		CPI-SC0BF16A11C	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL17A1	Q9UMD9	False	COHA1_HUMAN		CPI-SC06B4C6DD5	0.001	0.004	0.0	0.001	0.0	0.003	0.002	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC07E0348EF	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F7E26271	0.003	0.016	0.033	0.031	0.01	0.013	0.016	0.0	0.008	1.115	0.018	0.058	0.045	0.019	0.026	0.007	0.0
COL2A1	P02458	False	CO2A1_HUMAN		CPI-SC0CF621D48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0A8902C85	0.049	0.626	0.417	0.02	0.058	0.042	0.01	0.0	0.015	1.605	0.054	0.0	0.005	0.0	0.048	0.006	0.028
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0A0532ADC	0.222	2.13	0.029	0.207	0.274	0.267	0.039	0.0	0.033	1.242	0.057	0.0	0.027	0.025	0.0	0.047	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC0CFF5E19D	0.859	3.748	0.114	0.106	0.056	0.115	0.086	0.0	0.174	1.352	0.192	0.204	0.04	0.041	0.0	0.054	0.048
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0DF641DAA	0.026	0.029	0.048	0.011	0.013	0.002	0.009	0.0	0.006	0.313	0.006	0.0	0.008	0.0	0.0	0.003	0.0
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC0681D30FE	0.028	0.03	0.109	0.086	0.013	0.032	0.009	0.0	0.009	1.939	0.013	0.0	0.012	0.004	0.005	0.004	0.0
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC02017BE74	0.307	2.205	0.068	0.211	0.439	0.411	0.038	0.0	0.051	1.146	0.046	0.067	0.007	0.034	0.028	0.023	0.0
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC0861656EC	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC04085F9F9	0.261	0.395	0.251	1.512	0.195	0.448	0.057	0.0	0.062	1.83	0.043	0.0	0.08	0.043	0.065	0.047	0.0
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0A54B5323	0.043	0.321	0.027	0.05	0.008	0.091	0.056	0.0	0.011	2.06	0.286	0.0	0.054	0.181	0.025	0.0	0.0
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC0ECFACED2	0.04	0.103	0.122	0.056	0.077	0.026	0.047	0.356	0.075	0.189	0.169	0.083	0.127	0.095	0.081	0.107	0.055
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC0CA323AE3	0.0	0.166	0.0	0.005	0.011	0.001	0.002	0.0	0.008	0.038	0.001	0.0	0.0	0.009	0.0	0.0	0.0
COL9A1	P20849	False	CO9A1_HUMAN		CPI-SC0CBC30AB7	0.006	0.0	0.012	0.001	0.007	0.013	0.0	0.0	0.0	0.125	0.0	0.094	0.006	0.004	0.0	0.0	0.0
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC0092846B0	0.015	0.031	0.0	0.005	0.0	0.015	0.006	0.0	0.004	0.152	0.002	0.0	0.023	0.003	0.01	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC08AF9CA91	0.0	0.0	0.0	0.002	0.003	0.003	0.0	0.0	0.027	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.05
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC07E958BDE	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.13	0.002	0.0	0.013	0.036	0.0	0.0	0.0
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC08CC68F11	0.049	0.106	0.014	0.013	0.008	0.07	0.003	0.0	0.012	0.034	0.0	0.0	0.003	0.009	0.014	0.0	0.0
COL4A5	P29400	False	CO4A5_HUMAN		CPI-SC0CE433AB8	0.011	0.017	0.277	0.158	0.007	0.077	0.0	0.0	0.006	0.297	0.01	0.0	0.0	0.005	0.0	0.0	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC03BFF1D95	0.082	0.753	0.004	0.002	0.026	0.004	0.02	0.0	0.011	0.188	0.01	0.077	0.006	0.008	0.0	0.134	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC03ADD2063	0.322	0.638	1.35	1.682	0.501	0.91	0.123	0.289	0.106	2.596	0.11	0.024	0.125	0.1	0.241	0.104	0.3
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC0082A7233	0.056	0.026	0.77	0.336	0.092	0.257	0.02	0.0	0.013	0.005	0.008	0.0	0.025	0.05	0.005	0.201	0.0
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0674C647E	0.053	0.024	2.402	0.237	0.106	0.363	0.013	0.0	0.003	0.054	0.02	0.0	0.008	0.012	0.0	0.106	0.044
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC03D71E025	0.028	0.009	0.107	0.014	0.0	0.033	0.001	0.0	0.004	0.035	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL10A1	Q03692	False	COAA1_HUMAN		CPI-SC0DF986F22	0.033	0.015	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC060984F83	0.002	0.002	0.0	0.006	0.002	0.037	0.0	0.0	0.002	0.62	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0014D5A6E	0.008	0.019	0.011	0.032	0.008	0.016	0.005	0.0	0.002	0.062	0.01	0.0	0.004	0.007	0.0	0.004	0.0
COL4A6	Q14031	False	CO4A6_HUMAN		CPI-SC0B066E03C	0.0	0.002	0.0	0.037	0.0	0.018	0.0	0.0	0.003	0.06	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL9A3	Q14050	False	CO9A3_HUMAN		CPI-SC0B4BD965C	0.041	0.024	0.04	0.055	0.096	0.081	0.027	0.0	0.013	0.027	0.01	0.097	0.002	0.002	0.0	0.024	0.094
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC0247E9ADB	0.069	0.021	0.0	0.394	0.007	0.046	0.039	0.0	0.088	0.026	0.01	0.068	0.064	0.012	0.06	0.015	0.0
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC0035F0B0F	0.0	0.002	0.01	0.01	0.134	0.004	0.01	0.0	0.001	0.0	0.0	0.0	0.0	0.011	0.0	0.195	0.042
COL24A1	Q17RW2	False	COOA1_HUMAN		CPI-SC06ACCFA52	0.003	0.004	0.0	0.037	0.003	0.012	0.002	0.0	0.004	0.021	0.0	0.0	0.001	0.007	0.0	0.003	0.36
COL28A1	Q2UY09	False	COSA1_HUMAN		CPI-SC069F9E62C	0.007	0.0	0.0	0.018	0.003	0.003	0.001	0.0	0.002	0.0	0.003	0.0	0.004	0.004	0.0	0.0	0.0
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0D2BDC009	0.02	0.082	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.024	0.006	0.63	0.0	0.03	0.0	0.0	0.0
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC05F111D21	0.036	0.024	0.085	0.031	0.402	0.097	0.037	0.04	0.014	0.119	0.062	0.0	0.033	0.022	0.014	0.011	0.0
COL22A1	Q8NFW1	False	COMA1_HUMAN		CPI-SC0BCD683D4	0.004	0.001	0.0	0.02	0.0	0.001	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL26A1	Q96A83	False	COQA1_HUMAN		CPI-SC041215790	0.005	0.001	0.0	0.017	0.0	0.039	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.264
COL21A1	Q96P44	False	COLA1_HUMAN		CPI-SC037C3901A	0.023	0.007	0.001	0.003	0.0	0.001	0.0	0.0	0.0	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC05B2AA866	0.005	0.034	0.013	0.041	0.026	0.035	0.003	0.0	0.006	0.771	0.004	0.496	0.004	0.005	0.0	0.04	0.0
COL20A1	Q9P218	False	COKA1_HUMAN		CPI-SC051B1E9C4	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL17A1	Q9UMD9	False	COHA1_HUMAN		CPI-SC0247375A7	0.001	0.004	0.0	0.001	0.0	0.003	0.002	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC0B808E56A	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F73E9099	0.003	0.016	0.033	0.031	0.01	0.013	0.016	0.0	0.008	1.115	0.018	0.058	0.045	0.019	0.026	0.007	0.0
COL2A1	P02458	False	CO2A1_HUMAN		CPI-SC016235D3A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0BC63F8C0	0.049	0.626	0.417	0.02	0.058	0.042	0.01	0.0	0.015	1.605	0.054	0.0	0.005	0.0	0.048	0.006	0.028
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0672FBD31	0.222	2.13	0.029	0.207	0.274	0.267	0.039	0.0	0.033	1.242	0.057	0.0	0.027	0.025	0.0	0.047	0.0
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0545E2502	0.026	0.029	0.048	0.011	0.013	0.002	0.009	0.0	0.006	0.313	0.006	0.0	0.008	0.0	0.0	0.003	0.0
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC006E22794	0.028	0.03	0.109	0.086	0.013	0.032	0.009	0.0	0.009	1.939	0.013	0.0	0.012	0.004	0.005	0.004	0.0
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0458F68A5	0.307	2.205	0.068	0.211	0.439	0.411	0.038	0.0	0.051	1.146	0.046	0.067	0.007	0.034	0.028	0.023	0.0
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC06E5E0C83	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC09FDA4F45	0.261	0.395	0.251	1.512	0.195	0.448	0.057	0.0	0.062	1.83	0.043	0.0	0.08	0.043	0.065	0.047	0.0
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0F4BC2909	0.043	0.321	0.027	0.05	0.008	0.091	0.056	0.0	0.011	2.06	0.286	0.0	0.054	0.181	0.025	0.0	0.0
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC02AE206BE	0.04	0.103	0.122	0.056	0.077	0.026	0.047	0.356	0.075	0.189	0.169	0.083	0.127	0.095	0.081	0.107	0.055
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC0A8E69BC5	0.0	0.166	0.0	0.005	0.011	0.001	0.002	0.0	0.008	0.038	0.001	0.0	0.0	0.009	0.0	0.0	0.0
COL9A1	P20849	False	CO9A1_HUMAN		CPI-SC05B6D413B	0.006	0.0	0.012	0.001	0.007	0.013	0.0	0.0	0.0	0.125	0.0	0.094	0.006	0.004	0.0	0.0	0.0
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC05992FDC8	0.015	0.031	0.0	0.005	0.0	0.015	0.006	0.0	0.004	0.152	0.002	0.0	0.023	0.003	0.01	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC069F95780	0.0	0.0	0.0	0.002	0.003	0.003	0.0	0.0	0.027	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.05
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC0DAD29856	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.13	0.002	0.0	0.013	0.036	0.0	0.0	0.0
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC02F06FF62	0.049	0.106	0.014	0.013	0.008	0.07	0.003	0.0	0.012	0.034	0.0	0.0	0.003	0.009	0.014	0.0	0.0
COL4A5	P29400	False	CO4A5_HUMAN		CPI-SC0EC572716	0.011	0.017	0.277	0.158	0.007	0.077	0.0	0.0	0.006	0.297	0.01	0.0	0.0	0.005	0.0	0.0	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC0F8D27FBC	0.082	0.753	0.004	0.002	0.026	0.004	0.02	0.0	0.011	0.188	0.01	0.077	0.006	0.008	0.0	0.134	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0EA3FC100	0.322	0.638	1.35	1.682	0.501	0.91	0.123	0.289	0.106	2.596	0.11	0.024	0.125	0.1	0.241	0.104	0.3
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC091173D82	0.056	0.026	0.77	0.336	0.092	0.257	0.02	0.0	0.013	0.005	0.008	0.0	0.025	0.05	0.005	0.201	0.0
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC07FB88720	0.053	0.024	2.402	0.237	0.106	0.363	0.013	0.0	0.003	0.054	0.02	0.0	0.008	0.012	0.0	0.106	0.044
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC035953E6B	0.028	0.009	0.107	0.014	0.0	0.033	0.001	0.0	0.004	0.035	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL10A1	Q03692	False	COAA1_HUMAN		CPI-SC01115AAD1	0.033	0.015	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC0BD4C290F	0.002	0.002	0.0	0.006	0.002	0.037	0.0	0.0	0.002	0.62	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC053BBE2B1	0.008	0.019	0.011	0.032	0.008	0.016	0.005	0.0	0.002	0.062	0.01	0.0	0.004	0.007	0.0	0.004	0.0
COL4A6	Q14031	False	CO4A6_HUMAN		CPI-SC0DA5EFA18	0.0	0.002	0.0	0.037	0.0	0.018	0.0	0.0	0.003	0.06	0.002	0.0	0.0	0.0	0.0	0.0	0.0
