,slidename,scanname,roilabel,segmentlabel,sample_id,aoisurfacearea,aoinucleicount,roicoordinatex,roicoordinatey,rawreads,trimmedreads,stitchedreads,alignedreads,deduplicatedreads,sequencingsaturation,umiq30,rtsq30,disease_status,pathology,region,loq,normalizationfactor,roireportx,roireporty,idx,region_exact,ct_deconv_b cell,ct_deconv_cd8 t cell,ct_deconv_dc,ct_deconv_distal_tubules_and_collecting_duct,ct_deconv_endothelium,ct_deconv_loop_of_henle,ct_deconv_mnp,ct_deconv_mast cell,ct_deconv_mesangial_cells,ct_deconv_nk cell,ct_deconv_nkt cell,ct_deconv_nephron_epithelium,ct_deconv_neutrophil,ct_deconv_podocytes,ct_deconv_private,ct_deconv_proximal_tubular_cells,ct_deconv_th cell,x_2d_umap,y_2d_umap,x_3d_umap,y_3d_umap,barcode,image_file_name
disease3_scan | 042 | Geometric Segment,disease3,disease3_scan,42,Geometric Segment,DSP-1001250007851-H-D01,23064.56344,153,29422,-57474,1202229,1189993,1179787,1129322,118920,90.1083737,0.9932,0.9925,DKD,abnormal,glomerulus,5.698448861,2.154626183,5690,-13186,35,glomerulus,0.636839148,0,0.147998004,0.09457668,10.12563392,4.653357888,1.265098123,0.024958057,6.851803511,1.462281571,0,1.226838419,0.323337892,2.564483521,0,0.038372115,0,-8.013925,10.854483,-2.665827,2.5219343,disease3_scan | 042 | Geometric Segment,disease3_scan - 042
disease3_scan | 043 | Geometric Segment,disease3,disease3_scan,43,Geometric Segment,DSP-1001250007851-H-D02,10588.60009,69,24139,-50976,1114118,1104287,1095312,1038927,104768,90.59632822,0.9938,0.9931,DKD,abnormal,glomerulus,6.271783064,2.462429924,4382,-11575,36,glomerulus,0.333214201,0,0.111212983,0.130130442,5.352093027,3.684347856,1.159592476,0,4.664706047,1.190233267,0,0.736731307,0.046837264,2.396668402,0,0,0,-7.9985347,10.910827,-2.4796748,2.7564743,disease3_scan | 043 | Geometric Segment,disease3_scan - 043
disease3_scan | 044 | Geometric Segment,disease3,disease3_scan,44,Geometric Segment,DSP-1001250007851-H-D03,23902.13636,152,25666,-49717,3782447,3752988,3724434,3550832,314051,91.69714738,0.9945,0.9938,DKD,abnormal,glomerulus,17.53271286,0.907211025,4751,-11255,37,glomerulus,0.272792237,0,0.384444578,0.018162785,9.100508611,3.709633618,1.804922218,0.014576233,6.668768189,1.499286997,0,1.378401643,0,2.49253949,0,0.258931872,0,-11.807867,13.034795,-0.1308024,2.1622787,disease3_scan | 044 | Geometric Segment,disease3_scan - 044
disease3_scan | 045 | Geometric Segment,disease3,disease3_scan,45,Geometric Segment,DSP-1001250007851-H-D04,27538.8812,177,23147,-28398,3281757,3257861,3234058,3089707,303053,90.76552591,0.9948,0.9941,DKD,abnormal,glomerulus,16.88308711,0.957611637,4124,-5931,38,glomerulus,0.330832833,0,0.113787471,0,8.965905333,2.597653986,1.92286951,0.012008213,7.416719803,1.070659037,0,1.834705826,0.450447308,2.54552575,0,0,0,-10.623496,11.483422,-0.7752741,0.6479677,disease3_scan | 045 | Geometric Segment,disease3_scan - 045
disease3_scan | 046 | Geometric Segment,disease3,disease3_scan,46,Geometric Segment,DSP-1001250007851-H-D05,13586.59472,99,21760,-28676,2627887,2605097,2584564,2467340,221470,91.57231647,0.9941,0.9933,DKD,abnormal,glomerulus,15.71512209,1.231214962,3777,-5997,39,glomerulus,0.407544604,0,0.158505161,0,9.76566416,2.015062703,1.493814754,0.016884489,6.662041527,0.797885345,0,1.980365084,0.064595743,2.153825569,0,0,0,-8.921795,10.870983,-1.830966,1.8814261,disease3_scan | 046 | Geometric Segment,disease3_scan - 046
disease3_scan | 047 | Geometric Segment,disease3,disease3_scan,47,Geometric Segment,DSP-1001250007851-H-D06,15162.65197,109,24697,-29623,2706732,2662857,2628343,2504089,274934,89.84258508,0.9914,0.9898,DKD,abnormal,glomerulus,14.93215866,1.013941733,4511,-6234,40,glomerulus,0.35959534,0,0.209305099,0,8.177316216,2.089004956,1.216372381,0.011079712,8.273900098,0.811462338,0,1.300518231,0,4.142069957,0,0,0,-8.288974,9.390222,-2.8525016,1.302177,disease3_scan | 047 | Geometric Segment,disease3_scan - 047
disease3_scan | 048 | Geometric Segment,disease3,disease3_scan,48,Geometric Segment,DSP-1001250007851-H-D07,21049.86973,140,22825,-30310,3759056,3724698,3693770,3509901,362424,90.35864323,0.994,0.9933,DKD,abnormal,glomerulus,19.70785704,0.78350043,4043,-6405,41,glomerulus,0.316191132,0,0.122624674,0,8.401016516,2.71960994,1.708740347,0.020776304,5.867169392,1.239931112,0,1.287765043,0,2.242599651,0,0,0,-11.459418,11.688446,-0.824156,1.3243428,disease3_scan | 048 | Geometric Segment,disease3_scan - 048
disease3_scan | 049 | Geometric Segment,disease3,disease3_scan,49,Geometric Segment,DSP-1001250007851-H-D08,16106.73706,120,29203,-35578,2747832,2721299,2698161,2580030,266304,90.30857782,0.9937,0.9926,DKD,abnormal,glomerulus,14.14071026,1.077313092,5637,-7723,42,glomerulus,0.432601949,0,0.181682972,0,11.1978999,4.187421318,1.72410281,0.024692739,6.075475337,1.188482405,0,0.781040965,0.830728748,3.42436873,0,0,0,-9.208994,10.514668,-1.7491924,1.3328944,disease3_scan | 049 | Geometric Segment,disease3_scan - 049
disease3_scan | 050 | Geometric Segment,disease3,disease3_scan,50,Geometric Segment,DSP-1001250007851-H-D09,19138.62193,133,30404,-35913,2610379,2586703,2559156,2453269,263122,89.92016102,0.9939,0.9933,DKD,abnormal,glomerulus,16.18773459,1.077313092,5939,-7809,43,glomerulus,0.55644402,0,0.252480596,0,8.390451351,3.963027068,0.952723946,0.012646582,7.242609772,1.366500035,0,1.504682645,0.532109867,3.058249236,0.104666464,0.434697433,0,-10.399572,11.670299,-1.0244132,1.7119461,disease3_scan | 050 | Geometric Segment,disease3_scan - 050
disease3_scan | 051 | Geometric Segment,disease3,disease3_scan,51,Geometric Segment,DSP-1001250007851-H-D10,21682.97157,152,31800,-35784,4008351,3975272,3943401,3785450,338101,91.56508499,0.9941,0.9933,DKD,abnormal,glomerulus,15.82132259,0.820809975,6288,-7774,44,glomerulus,0.684883059,0,0.201872299,0,11.3013098,3.880285015,1.238295506,0.015010226,7.381331215,1.267713531,0,0.951122196,0.297008115,3.951260935,0,0.062376498,0,-8.1918955,9.564478,-3.0263667,1.4539212,disease3_scan | 051 | Geometric Segment,disease3_scan - 051
disease3_scan | 052 | Geometric Segment,disease3,disease3_scan,52,Geometric Segment,DSP-1001250007851-H-D11,22306.22911,165,31869,-38266,4463474,4430372,4395367,4217987,352283,92.10742574,0.9948,0.994,DKD,abnormal,glomerulus,18.83760052,0.78350043,6305,-8392,45,glomerulus,0.47330355,0.010985127,0.01277193,0,9.352097435,2.811843802,1.753038639,0.001446223,6.672579046,1.0670963,0,1.65360399,0,2.859404894,0,0.06040744,0,-9.451447,11.343828,-1.1353979,1.6440061,disease3_scan | 052 | Geometric Segment,disease3_scan - 052
disease3_scan | 053 | Geometric Segment,disease3,disease3_scan,53,Geometric Segment,DSP-1001250007851-H-D12,17138.29122,118,32016,-39890,2761426,2734680,2709627,2596687,283057,89.74960763,0.9939,0.9932,DKD,abnormal,glomerulus,14.54090941,1.013941733,6340,-8796,46,glomerulus,0.389669905,0,0.268225626,0,10.07559143,4.536765656,1.041033189,0.013073831,8.215109338,1.650687955,0,1.378114096,0,3.995968267,0,0.126674553,0,-9.357383,10.277589,-1.8725969,1.1380345,disease3_scan | 053 | Geometric Segment,disease3_scan - 053
normal3_scan | 001 | PanCK,normal3,normal3_scan,1,PanCK,DSP-1001250007864-D-A02,20265.55289,223,24658,-24538,3358935,3333329,3303955,3169018,419182,87.52038965,0.9949,0.9943,normal,,tubule,17.43449285,0.662961903,5808,-6101,71,distal tubule,0,0,0.050143783,29.06764728,0.64162099,5.682750862,0,0.003218725,1.072508985,0.264305727,0,0,0,0,0,0,0,2.3261647,-5.457125,9.361474,2.050651,normal3_scan | 001 | PanCK,normal3_scan - 001 - PanCK
normal3_scan | 001 | neg,normal3,normal3_scan,1,neg,DSP-1001250007864-D-A03,91483.61982,450,24658,-24538,5149518,5096156,5046768,4810145,797716,84.50891909,0.9939,0.9932,normal,,tubule,31.4980521,0.374717597,5808,-6101,72,proximal tubule,0,0,0,5.583810952,1.641304254,11.32432385,0,0.003319857,1.618557858,0,0,0,0,0,0,6.453038539,0,-0.32735574,-0.6213116,6.2681704,10.000589,normal3_scan | 001 | neg,normal3_scan - 001 - neg
normal3_scan | 002 | PanCK,normal3,normal3_scan,2,PanCK,DSP-1001250007864-D-A04,12966.08068,133,25404,-18258,1727404,1713003,1700055,1632358,240515,86.07650555,0.9942,0.9934,normal,,tubule,10.21522336,1.149133965,5980,-4528,73,distal tubule,0,0,0,28.84383229,0.696825807,3.702799106,0,0.004042258,1.102201012,0.095281445,0,0,0,0,0,0.39319939,0,2.3170261,-5.161028,9.353914,2.0986454,normal3_scan | 002 | PanCK,normal3_scan - 002 - PanCK
normal3_scan | 002 | neg,normal3,normal3_scan,2,neg,DSP-1001250007864-D-A05,133866.4234,499,25404,-18258,5262758,5213562,5175092,4870492,1030517,80.41868921,0.9937,0.9931,normal,,tubule,42.82923887,0.302403675,5980,-4528,74,proximal tubule,0,0,0.032544695,5.73246364,1.814070267,3.394114396,0,0,1.401404863,0.029798264,0,0.217099673,0,0,0,9.967215747,0,-0.3808781,-0.32622546,6.2079067,9.7925625,normal3_scan | 002 | neg,normal3_scan - 002 - neg
normal3_scan | 003 | PanCK,normal3,normal3_scan,3,PanCK,DSP-1001250007864-D-A06,23336.81498,195,5669,-35254,2163275,2145722,2129456,2035419,313094,85.52685165,0.9944,0.9938,normal,,tubule,15.71897795,0.907211025,1047,-8768,75,distal tubule,0,0,0.196275276,22.23466288,0.64138599,9.02052211,0,0,1.306655593,0.524835308,0,0.237439358,0,0,0,0,0,2.1372194,-5.730738,9.509787,2.1963856,normal3_scan | 003 | PanCK,normal3_scan - 003 - PanCK
normal3_scan | 003 | neg,normal3,normal3_scan,3,neg,DSP-1001250007864-D-A07,174741.5958,457,5669,-35254,6265561,6218544,6171994,5796420,809264,87.0839339,0.9948,0.9941,normal,,tubule,39.98722011,0.391750215,1047,-8768,76,proximal tubule,0,0,0.046934829,0.99268771,2.471366807,2.336532897,0.847291591,0,1.49941434,0.477440145,0,0.380302025,0,0,0,10.32442064,0,-0.7485464,-0.012155122,5.7221427,10.057971,normal3_scan | 003 | neg,normal3_scan - 003 - neg
normal3_scan | 004 | PanCK,normal3,normal3_scan,4,PanCK,DSP-1001250007864-D-A08,15875.79932,144,10254,-33559,2348506,2329540,2310862,2209437,295427,87.42064104,0.9944,0.9937,normal,,tubule,14.02885352,0.957611637,2209,-8332,77,distal tubule,0.048361172,0,0.005714797,26.53147257,0.742658931,3.78695992,0,0,1.287126207,0.396930091,0,0,0,0,0,0,0,2.105764,-5.467919,9.358589,2.3226223,normal3_scan | 004 | PanCK,normal3_scan - 004 - PanCK
normal3_scan | 004 | neg,normal3,normal3_scan,4,neg,DSP-1001250007864-D-A09,122888.5698,486,10254,-33559,6458141,6407402,6359958,6044456,844043,86.93055788,0.9945,0.9938,normal,,tubule,37.05525795,0.359104364,2209,-8332,78,proximal tubule,0,0,0.01491772,2.625055624,1.52555206,9.392197209,0,0,1.487197517,0,0,0.327134177,0,0,0,6.696831871,0,-0.42123106,-0.2821237,6.056741,9.967034,normal3_scan | 004 | neg,normal3_scan - 004 - neg
normal3_scan | 005 | PanCK,normal3,normal3_scan,5,PanCK,DSP-1001250007864-D-A10,23311.31661,199,21917,-29257,3031498,3009545,2988751,2877361,380203,87.45824671,0.9946,0.9939,normal,,tubule,17.12380007,0.749435194,5102,-7281,79,distal tubule,0,0,0,30.19469571,0.440803978,3.512829816,0,0,1.132541928,0,0,0,0,0,0,0,0,2.3983247,-5.182959,9.096254,2.2452366,normal3_scan | 005 | PanCK,normal3_scan - 005 - PanCK
normal3_scan | 006 | neg,normal3,normal3_scan,6,neg,DSP-1001250007864-D-B01,77969.64703,341,7360,-27919,7537862,7452728,7389902,7032210,604396,91.98186435,0.9927,0.9918,normal,,tubule,23.17780012,0.492485985,1467,-6939,80,proximal tubule,0.096280869,0,0.000698522,1.285589587,1.268506103,15.21045193,0.004713422,0.005129555,1.883000967,0,0,0.003631652,0,0,0,8.549612519,0,-0.6817355,-0.663051,6.1239805,10.233897,normal3_scan | 006 | neg,normal3_scan - 006 - neg
normal3_scan | 007 | Geometric Segment,normal3,normal3_scan,7,Geometric Segment,DSP-1001250007864-D-B02,27983.32741,126,22237,-7048,4097634,4063835,4029758,3872474,340051,91.7012842,0.9944,0.9937,normal,healthy,glomerulus,18.04090668,0.861850473,5192,-1727,81,glomerulus,0,0,0.051844753,0.078882796,11.40408585,1.335051735,0.306399991,0.003628446,5.844864628,0.480550198,0,1.501578526,0,6.639539808,0,0.265181331,0,17.87846,3.5766554,16.107794,0.44031596,normal3_scan | 007 | Geometric Segment,normal3_scan - 007
normal3_scan | 008 | Geometric Segment,normal3,normal3_scan,8,Geometric Segment,DSP-1001250007864-D-B03,23475.44217,117,26360,-7818,2451411,2432054,2412667,2319903,224773,90.83087251,0.9944,0.9937,normal,healthy,glomerulus,13.08529699,1.231214962,6219,-1921,82,glomerulus,0,0,0,0,9.941961907,1.44046227,0.076591044,0,5.417100778,0.392883233,0,1.56224854,0,6.642988833,0,0.381963184,0,17.291779,1.6186762,15.527502,-1.3586454,normal3_scan | 008 | Geometric Segment,normal3_scan - 008
normal3_scan | 009 | Geometric Segment,normal3,normal3_scan,9,Geometric Segment,DSP-1001250007864-D-B04,14662.85172,78,27147,-5512,1680845,1667336,1652319,1585519,140511,91.64045465,0.9946,0.9939,normal,healthy,glomerulus,9.114865434,1.915223274,6417,-1343,83,glomerulus,0,0,0,0.35631122,8.491467258,3.518878973,0.369753381,0,6.750686398,0.35016865,0,2.076508674,0,4.955238858,0,1.109411871,0,17.059189,1.4760274,15.663662,-1.6483537,normal3_scan | 009 | Geometric Segment,normal3_scan - 009
normal3_scan | 010 | Geometric Segment,normal3,normal3_scan,10,Geometric Segment,DSP-1001250007864-D-B05,24797.64544,145,28882,-5358,2865554,2844391,2822804,2715983,245838,91.42092594,0.9948,0.9941,normal,healthy,glomerulus,13.59801261,1.149133965,6855,-1302,84,glomerulus,0,0,0.051304065,0.04415582,10.3917646,2.969936231,0.363644069,0,5.085854125,0.372264607,0,1.458180823,0,5.590206977,0,0.400438991,0,17.773493,2.947496,15.810792,-0.039640635,normal3_scan | 010 | Geometric Segment,normal3_scan - 010
normal3_scan | 011 | Geometric Segment,normal3,normal3_scan,11,Geometric Segment,DSP-1001250007864-D-B06,24350.45573,128,26335,-10453,3040227,3000284,2968560,2849333,257872,91.51800178,0.9924,0.9909,normal,healthy,glomerulus,12.60844093,1.077313092,6216,-2580,85,glomerulus,0.015479676,0,0,0.005595936,12.30517093,2.127852559,0.585285233,0,7.734368087,0.65251193,0,0.708795003,0,7.207687859,0,0,0,17.964525,1.1870933,15.499467,-1.4502984,normal3_scan | 011 | Geometric Segment,normal3_scan - 011
normal3_scan | 012 | Geometric Segment,normal3,normal3_scan,12,Geometric Segment,DSP-1001250007864-D-B07,22468.41808,120,25277,-11931,3014033,2989763,2961392,2841642,232655,92.28094052,0.9947,0.994,normal,healthy,glomerulus,13.79506814,1.231214962,5950,-2945,86,glomerulus,0,0,0,0,11.53450285,1.206476293,0.134747503,0,6.080069765,0.317808908,0,1.574506977,0,7.4338915,0,0.096474616,0,18.328188,1.8685681,15.799714,-0.7062812,normal3_scan | 012 | Geometric Segment,normal3_scan - 012
normal3_scan | 013 | Geometric Segment,normal3,normal3_scan,13,Geometric Segment,DSP-1001250007864-D-B08,25761.90328,158,24774,-14269,2576110,2551962,2525411,2421231,214075,91.68998995,0.9939,0.9931,normal,healthy,glomerulus,13.17377036,1.325923805,5822,-3529,87,glomerulus,0.001052505,0,0.048951009,0.020152185,9.305049152,3.296001062,0.444367786,0.001963048,10.51548367,0.476427959,0,1.489215378,0,6.561174162,0,0.321020354,0,18.22969,2.3481927,15.672912,-0.29625222,normal3_scan | 013 | Geometric Segment,normal3_scan - 013
normal3_scan | 014 | Geometric Segment,normal3,normal3_scan,14,Geometric Segment,DSP-1001250007864-D-B09,23327.93897,127,26774,-13654,3155597,3129610,3100761,2978367,252057,92.01238308,0.9943,0.9935,normal,healthy,glomerulus,13.40983735,1.149133965,6330,-3380,88,glomerulus,0,0,0,0,11.51831642,1.670347977,0.154278813,0,8.14245055,0.128809395,0,1.916049316,0,6.129889953,0,0,0,18.636446,2.2581284,15.91956,-0.09195462,normal3_scan | 014 | Geometric Segment,normal3_scan - 014
normal3_scan | 015 | Geometric Segment,normal3,normal3_scan,15,Geometric Segment,DSP-1001250007864-D-B10,26355.95066,146,23786,-16324,3458205,3429351,3401751,3266346,286784,91.70714287,0.9943,0.9936,normal,healthy,glomerulus,16.07622796,1.013941733,5581,-4046,89,glomerulus,0,0,0.045649548,0,10.57068799,1.183458784,0.134277183,0.004132228,6.711091142,0.309396542,0,1.674083592,0,6.477984428,0,0,0,18.464607,3.1776981,16.199924,0.47650883,normal3_scan | 015 | Geometric Segment,normal3_scan - 015
normal3_scan | 016 | Geometric Segment,normal3,normal3_scan,16,Geometric Segment,DSP-1001250007864-D-B11,25468.51068,151,23136,-17600,3810906,3781174,3745199,3588026,288337,92.43389892,0.9946,0.9938,normal,healthy,glomerulus,16.73186995,1.013941733,5418,-4361,90,glomerulus,0,0,0.04088463,0,11.79458194,0.829254682,0.10973697,0,6.970948485,0.330648564,0,1.153448672,0,6.296610983,0,0,0,18.564512,3.8150668,16.346046,0.99652904,normal3_scan | 016 | Geometric Segment,normal3_scan - 016
normal3_scan | 017 | Geometric Segment,normal3,normal3_scan,17,Geometric Segment,DSP-1001250007864-D-B12,26808.95012,135,23857,-18098,2733866,2706784,2684004,2573886,262627,90.3935672,0.9936,0.9929,normal,healthy,glomerulus,15.35136016,1.077313092,5598,-4492,91,glomerulus,0,0,0.025900939,0.060949068,10.87463459,1.239014254,0.111748694,0,6.545691296,0.135551454,0,1.036797771,0,6.792417748,0,0,0,18.081985,1.5082338,15.853121,-1.126886,normal3_scan | 017 | Geometric Segment,normal3_scan - 017
normal3_scan | 018 | Geometric Segment,normal3,normal3_scan,18,Geometric Segment,DSP-1001250007864-D-C01,24417.75206,163,23524,-19162,3211778,3184987,3159387,3037285,276485,91.39152831,0.9942,0.9935,normal,healthy,glomerulus,18.85103911,1.013941733,5514,-4751,92,glomerulus,0,0,0.045756497,0,7.74081117,1.729813706,0.075855637,0.009059065,4.547724136,0.28013263,0,1.501712678,0,4.428492127,0,0,0,17.347843,5.0135655,16.29155,1.2122391,normal3_scan | 018 | Geometric Segment,normal3_scan - 018
normal3_scan | 019 | Geometric Segment,normal3,normal3_scan,19,Geometric Segment,DSP-1001250007864-D-C02,26498.77379,131,28740,-20215,2988413,2955661,2927843,2818188,256122,91.42949786,0.993,0.9918,normal,healthy,glomerulus,14.89994064,1.077313092,6819,-5017,93,glomerulus,0,0,0.101811339,0,9.994617856,1.710783243,0.010083241,0.004020319,5.646872949,0.467571276,0,0.934004654,0,7.20026292,0,0,0,17.713297,1.9022877,16.008064,-1.1641976,normal3_scan | 019 | Geometric Segment,normal3_scan - 019
normal3_scan | 020 | Geometric Segment,normal3,normal3_scan,20,Geometric Segment,DSP-1001250007864-D-C03,31804.37058,175,20577,-23964,3030875,3009188,2986500,2877449,296405,90.22048088,0.9947,0.994,normal,healthy,glomerulus,18.40649691,0.957611637,4778,-5957,94,glomerulus,0.044314189,0,0.158763394,0,9.113167071,1.374279593,0,0.01623858,5.79835486,0.54438833,0,1.810099068,0,5.148314546,0,0,0,17.668497,4.9903708,15.915212,1.7600096,normal3_scan | 020 | Geometric Segment,normal3_scan - 020
normal3_scan | 021 | Geometric Segment,normal3,normal3_scan,21,Geometric Segment,DSP-1001250007864-D-C04,35587.97311,183,18744,-26296,4664106,4626837,4586481,4399996,393561,91.5619199,0.9946,0.9939,normal,healthy,glomerulus,19.45619065,0.749435194,4309,-6535,95,glomerulus,0.472869709,0,0.008795408,0,10.05951049,0.776777644,0.038503189,0.000368872,9.518135552,0.433820333,0,1.894234065,0,4.258388033,0,0,0,17.994892,4.9298368,16.032635,1.8623483,normal3_scan | 021 | Geometric Segment,normal3_scan - 021
normal3_scan | 022 | Geometric Segment,normal3,normal3_scan,22,Geometric Segment,DSP-1001250007864-D-C05,26084.66741,152,19568,-27983,3221423,3198855,3175032,3050828,314809,90.22764164,0.9949,0.9943,normal,abnormal,glomerulus,17.89808162,0.907211025,4527,-6960,96,glomerulus,0,0,0.054590311,0,8.592753895,1.077027173,0.248918441,0,7.113397853,0.485884899,0,1.691572141,0,4.322772764,0,0,0,18.036678,4.8697853,16.503304,1.3728926,normal3_scan | 022 | Geometric Segment,normal3_scan - 022
normal3_scan | 023 | Geometric Segment,normal3,normal3_scan,23,Geometric Segment,DSP-1001250007864-D-C06,22127.57916,107,21778,-33332,3207462,3177500,3153164,3027196,252425,92.13007044,0.9936,0.9929,normal,healthy,glomerulus,16.29856547,1.149133965,5079,-8290,97,glomerulus,0,0,0,0,7.0047369,2.660717765,0.218822563,0,6.686380006,0.157293112,0,1.34260236,0,4.931163397,0,0.30458159,0,18.16417,4.965868,16.749146,1.6646659,normal3_scan | 023 | Geometric Segment,normal3_scan - 023
normal3_scan | 024 | Geometric Segment,normal3,normal3_scan,24,Geometric Segment,DSP-1001250007864-D-C07,21787.38577,112,24321,-33123,2649969,2624965,2602427,2499388,224129,91.54220295,0.9937,0.9929,normal,healthy,glomerulus,15.2622229,1.231214962,5710,-8246,98,glomerulus,0,0,0,0,8.424107457,2.221837787,0.080186712,0,7.552566819,0.2305434,0,1.870680171,0,5.193834134,0,0.013477038,0,17.408817,3.5009148,16.34618,0.020624537,normal3_scan | 024 | Geometric Segment,normal3_scan - 024
normal3_scan | 025 | Geometric Segment,normal3,normal3_scan,25,Geometric Segment,DSP-1001250007864-D-C08,27479.16984,144,23574,-32666,3523803,3493528,3464148,3327543,285901,91.88657822,0.9941,0.9933,normal,healthy,glomerulus,17.37372238,1.013941733,5525,-8129,99,glomerulus,0,0,0.18208739,0,7.1277918,1.856045711,0.198930682,0,5.704341193,0.365209079,0,1.167074908,0,5.975756735,0,0.182333856,0,18.10527,5.5463624,16.742966,1.8978171,normal3_scan | 025 | Geometric Segment,normal3_scan - 025
normal3_scan | 029 | Geometric Segment,normal3,normal3_scan,29,Geometric Segment,DSP-1001250007864-D-C12,30810.90258,178,12081,-39509,1735299,1717667,1701400,1619704,152832,91.19275698,0.9937,0.993,normal,healthy,glomerulus,11.97026936,1.723700947,2654,-9846,100,glomerulus,0,0,0.064882152,0,7.365604759,1.009256984,0.231494233,0,5.144793117,0.494265009,0,1.101215209,0,3.709798145,0,0,0,16.302637,3.4761734,16.465572,-0.6691233,normal3_scan | 029 | Geometric Segment,normal3_scan - 029
normal3_scan | 030 | Geometric Segment,normal3,normal3_scan,30,Geometric Segment,DSP-1001250007864-D-D01,27445.11822,130,7563,-42252,3731620,3702355,3673311,3527808,248300,93.34605346,0.9945,0.9937,normal,healthy,glomerulus,15.76141212,1.149133965,1522,-10527,101,glomerulus,0.06695656,0,0.012213724,0.019045615,7.023525466,0.284046169,0,0,3.867514835,0.288209977,0,1.465088987,0,5.160563913,0,0,0,17.371313,5.8312073,16.723284,1.6799904,normal3_scan | 030 | Geometric Segment,normal3_scan - 030
normal3_scan | 031 | Geometric Segment,normal3,normal3_scan,31,Geometric Segment,DSP-1001250007864-D-D02,49933.54768,255,4580,-39198,6197576,6148931,6094986,5847261,441669,92.87352023,0.9948,0.9941,normal,healthy,glomerulus,21.9105181,0.662961903,777,-9766,102,glomerulus,0,0,0.00101953,0.14973712,9.549140027,0.729844263,0.430323823,0,5.346432185,0.370286132,0,0.560049196,0,4.117518382,0,0,0,17.865978,5.9214935,16.623161,1.8355254,normal3_scan | 031 | Geometric Segment,normal3_scan - 031
normal3_scan | 032 | Geometric Segment,normal3,normal3_scan,32,Geometric Segment,DSP-1001250007864-D-D03,41998.39152,223,5097,-37322,5388890,5351199,5310843,5092183,350744,93.4913498,0.9948,0.9941,normal,healthy,glomerulus,21.01000393,0.820809975,906,-9290,103,glomerulus,0.033944456,0,0.080678993,0,7.551935666,0.881882264,0.442828798,0.020619671,7.272672717,0.477298367,0,1.794157093,0,4.337812283,0,0,0,17.756954,5.96882,16.839561,1.5412592,normal3_scan | 032 | Geometric Segment,normal3_scan - 032
normal3_scan | 033 | Geometric Segment,normal3,normal3_scan,33,Geometric Segment,DSP-1001250007864-D-D04,31837.77667,164,9386,-36076,2841620,2815429,2790047,2675941,231238,91.86245874,0.9939,0.9932,normal,healthy,glomerulus,15.81781862,1.231214962,1979,-8985,104,glomerulus,0,0,0.100577725,0.072343703,9.023933972,0.740539596,0.037124797,0,5.193747098,0.350648557,0,1.015875364,0,5.027997163,0,0,0,17.296875,4.495176,16.520226,0.57970124,normal3_scan | 033 | Geometric Segment,normal3_scan - 033
normal3_scan | 034 | Geometric Segment,normal3,normal3_scan,34,Geometric Segment,DSP-1001250007864-D-D05,20978.53886,100,5394,-40134,2263322,2233114,2209935,2120052,190504,91.58299173,0.9924,0.9909,normal,healthy,glomerulus,17.1496075,1.436417456,981,-10003,105,glomerulus,0,0,0.036361372,0,6.442961244,0.99232882,0,0,4.634157458,0.483493795,0,1.328321762,0,4.591551376,0,0.164015382,0,17.675287,5.8400993,16.946482,1.4435722,normal3_scan | 034 | Geometric Segment,normal3_scan - 034
normal3_scan | 035 | Geometric Segment,normal3,normal3_scan,35,Geometric Segment,DSP-1001250007864-D-D06,25290.50627,127,9263,-31932,3249115,3220570,3192661,3056790,248664,92.34671595,0.9942,0.9935,normal,healthy,glomerulus,15.27429529,1.149133965,1946,-7951,106,glomerulus,0,0,0.026947607,0,10.91973367,1.077896234,0.12154265,0,6.455459918,0.37757697,0,0.567293069,0,5.090452941,0,0,0,18.564316,3.4399064,16.459948,0.694166,normal3_scan | 035 | Geometric Segment,normal3_scan - 035
normal3_scan | 036 | Geometric Segment,normal3,normal3_scan,36,Geometric Segment,DSP-1001250007864-D-D07,25689.60411,132,6596,-32735,3228035,3198747,3172733,3037700,225112,93.02634575,0.9939,0.9932,normal,healthy,glomerulus,15.31730411,1.231214962,1281,-8149,107,glomerulus,0,0,0.068327137,0,7.253322159,0.694673252,0.146913158,0.001396153,8.8646689,0.1810531,0,1.813921816,0,3.379845237,0,0,0,16.80012,3.9617975,16.424477,-0.035828892,normal3_scan | 036 | Geometric Segment,normal3_scan - 036
normal3_scan | 037 | Geometric Segment,normal3,normal3_scan,37,Geometric Segment,DSP-1001250007864-D-D08,34535.60066,181,9531,-28420,5210416,5161721,5113847,4881977,389477,92.52503063,0.994,0.9933,normal,healthy,glomerulus,20.00233938,0.749435194,2016,-7064,108,glomerulus,0.084685179,0,0.069802928,0,8.467652809,0.64910789,0.159621973,0.002293794,7.565423812,0.455810513,0,1.988093472,0,5.167369312,0,0,0,17.861029,5.34395,16.407091,1.8565667,normal3_scan | 037 | Geometric Segment,normal3_scan - 037
normal3_scan | 038 | Geometric Segment,normal3,normal3_scan,38,Geometric Segment,DSP-1001250007864-D-D09,24650.30361,128,3643,-25213,3869721,3835084,3801687,3646708,275062,92.89194234,0.9939,0.9932,normal,healthy,glomerulus,15.48135661,1.077313092,546,-6270,109,glomerulus,0.015892643,0,0.120344001,0,12.55520465,0,0.08249214,0,5.187460542,0.134157443,0,0.904534075,0,7.176555844,0,0,0,18.665302,3.058274,16.244741,0.61197394,normal3_scan | 038 | Geometric Segment,normal3_scan - 038
